routine;exercice;series;reps;repos;groupe;description;niveau;objectif
Push;Développé Couché (Barre);4;6-8;2:30;Pectoraux;Pecs, épaules, triceps — environ 1 h;Intermédiaire;Hypertrophie
Push;Développé Couché Incliné (Haltère);3;8-10;2min;Pectoraux;;;
Push;Développé Militaire (Haltère);3;8-10;2min;Épaules;;;
Push;Élévation Latérale (Haltère);3;12-15;60;Épaules;;;
Push;Extension Triceps Poulie Haute (Corde);3;10-12;75;Triceps;;;
Pull;Tractions;4;6-10;2:30;Dos;Dos, biceps, arrière d'épaule;Intermédiaire;Hypertrophie
Pull;Rowing Barre;3;8-10;2min;Dos;;;
Pull;Tirage Poitrine (Poulie);3;10-12;90;Dos;;;
Pull;Face Pull (Poulie);3;15;60;Épaules;;;
Pull;Curl Biceps (Barre EZ);3;10-12;75;Biceps;;;
Jambes;Squat (Barre);4;5-8;3min;Jambes;Quadriceps, ischios, fessiers, mollets;Intermédiaire;Force
Jambes;Soulevé de Terre Roumain (Barre);3;8-10;2:30;Jambes;;;
Jambes;Presse à Cuisses;3;10-12;2min;Jambes;;;
Jambes;Leg Curl Assis (Machine);3;10-12;90;Jambes;;;
Jambes;Mollets Debout (Machine);4;12-15;60;Jambes;;;
